Date,Network,Profile,Impressions,Engagements,AER
2023-06-28T05:37:00Z,Instagram,Perfil C,7873,0,0
2023-09-01T08:43:00Z,Instagram,Perfil C,7943,0,0
2023-08-22T13:13:00Z,Twitter,Perfil A,8066,157,0.0195
2023-08-29T06:26:00Z,Instagram,Perfil C,8077,0,0
2023-06-28T05:36:00Z,Instagram,Perfil C,8111,0,0
2023-08-18T15:47:00Z,Twitter,Perfil A,8139,112,0.0138
2023-10-24T11:38:00Z,Instagram,Perfil C,8163,758,0.0929
2023-06-28T16:40:00Z,Instagram,Perfil C,8185,0,0
2023-07-02T14:42:00Z,Instagram,Perfil C,8246,0,0
2023-03-07T14:15:00Z,Instagram,Perfil C,8356,0,0
2023-05-26T14:29:00Z,Twitter,Perfil A,8385,91,0.0109
2023-07-02T14:40:00Z,Instagram,Perfil C,8390,0,0
2023-09-06T16:39:00Z,Twitter,Perfil B,8439,68,0.008100000000000001
2023-06-29T16:13:00Z,Instagram,Perfil C,8441,0,0
2023-01-11T12:22:00Z,Instagram,Perfil C,8441,0,0
2023-08-25T14:25:00Z,Instagram,Perfil C,8444,0,0
2023-03-30T10:07:00Z,Twitter,Perfil A,8498,129,0.0152
2023-08-09T15:52:00Z,Twitter,Perfil A,8553,95,0.0111
2023-06-29T16:09:00Z,Instagram,Perfil C,8601,0,0
2023-07-02T14:21:00Z,Instagram,Perfil C,8618,0,0
2023-10-31T15:16:00Z,Twitter,Perfil A,8649,351,0.0406
2023-06-28T05:35:00Z,Instagram,Perfil C,8658,0,0
2023-06-26T14:16:00Z,Instagram,Perfil C,8671,0,0
2023-09-20T16:12:00Z,Twitter,Perfil A,8717,73,0.0084
2023-07-02T13:25:00Z,Instagram,Perfil C,8747,0,0
2023-05-25T14:07:00Z,Twitter,Perfil A,8769,116,0.0132
2023-08-11T14:06:00Z,Twitter,Perfil A,8783,223,0.0254
2023-10-27T18:00:00Z,Twitter,Perfil A,8894,365,0.040999999999999995
2023-07-02T13:21:00Z,Instagram,Perfil C,8899,0,0
2023-08-19T14:17:00Z,Twitter,Perfil A,8996,104,0.0116
2023-09-27T14:25:00Z,Twitter,Perfil A,9023,157,0.0174
2023-07-02T13:21:00Z,Instagram,Perfil C,9074,0,0
2023-09-15T12:54:00Z,Twitter,Perfil A,9208,118,0.0128
2023-07-02T13:05:00Z,Instagram,Perfil C,9261,0,0
2023-03-10T13:26:00Z,Twitter,Perfil A,9461,94,0.009899999999999999
2023-08-23T15:00:00Z,Twitter,Perfil A,9465,102,0.0108
2023-07-26T09:52:00Z,Twitter,Perfil A,9558,148,0.0155
2023-08-28T15:44:00Z,Twitter,Perfil A,9576,172,0.018000000000000002
2023-05-15T14:20:00Z,Twitter,Perfil A,9604,287,0.029900000000000003
2023-03-10T10:14:00Z,Twitter,Perfil A,9656,42,0.0043
2023-10-29T11:00:00Z,Twitter,Perfil A,9687,102,0.0105
2023-07-02T11:07:00Z,Instagram,Perfil C,9705,0,0
2023-08-26T09:07:00Z,Twitter,Perfil A,9807,168,0.0171
2023-10-09T17:13:00Z,Twitter,Perfil B,9894,304,0.030699999999999998
2023-09-05T16:57:00Z,Instagram,Perfil C,9954,0,0
2023-07-24T10:27:00Z,Twitter,Perfil A,10025,257,0.0256
2023-07-01T14:17:00Z,Instagram,Perfil C,10113,0,0
2023-07-01T16:22:00Z,Instagram,Perfil C,10197,0,0
2023-03-07T13:49:00Z,Twitter,Perfil A,10304,169,0.016399999999999998
2023-04-06T15:41:00Z,Twitter,Perfil A,10334,88,0.0085
2023-07-02T09:39:00Z,Instagram,Perfil C,10374,0,0
2023-08-17T14:55:00Z,Twitter,Perfil A,10399,170,0.0163
2023-08-25T11:00:00Z,Instagram,Perfil C,10489,0,0
2023-10-23T16:51:00Z,Twitter,Perfil A,10520,353,0.0336
2023-07-01T14:10:00Z,Instagram,Perfil C,10647,0,0
2023-07-01T16:15:00Z,Instagram,Perfil C,10673,0,0
2023-07-01T13:00:00Z,Instagram,Perfil C,10728,0,0
2023-07-02T09:15:00Z,Instagram,Perfil C,10768,0,0
2023-07-01T10:23:00Z,Instagram,Perfil C,10830,0,0
2023-07-01T12:53:00Z,Instagram,Perfil C,11002,0,0
2023-07-28T14:04:00Z,Twitter,Perfil A,11075,83,0.0075
2023-07-01T12:07:00Z,Instagram,Perfil C,11086,0,0
2023-07-01T10:21:00Z,Instagram,Perfil C,11107,0,0
2023-09-08T11:28:00Z,Twitter,Perfil B,11169,203,0.0182
2023-04-10T14:05:00Z,Twitter,Perfil A,11214,103,0.0092
2023-10-25T18:55:00Z,Twitter,Perfil B,11273,217,0.0192
2023-07-01T09:28:00Z,Instagram,Perfil C,11274,0,0
2023-10-13T15:00:00Z,Twitter,Perfil A,11289,210,0.018600000000000002
2023-03-10T08:08:00Z,Instagram,Perfil C,11304,0,0
2023-07-02T16:29:00Z,Instagram,Perfil C,11427,0,0
2023-07-02T08:47:00Z,Instagram,Perfil C,11459,0,0
2023-04-10T14:05:00Z,Twitter,Perfil A,11469,87,0.0076
2023-07-05T12:32:00Z,Instagram,Perfil C,11470,0,0
2023-09-19T13:06:00Z,Twitter,Perfil B,11594,581,0.0501
2023-08-29T10:42:00Z,Twitter,Perfil A,11642,103,0.0088
2023-10-28T12:49:00Z,Twitter,Perfil B,11644,152,0.0131
2023-08-28T14:17:00Z,Twitter,Perfil A,11659,99,0.0085
2023-08-29T16:30:00Z,Instagram,Perfil C,11721,353,0.0301
2023-06-12T11:27:00Z,Twitter,Perfil A,12053,169,0.013999999999999999
2023-05-24T06:50:00Z,Twitter,Perfil A,12093,324,0.0268
2023-07-01T09:05:00Z,Instagram,Perfil C,12109,0,0
2023-03-10T07:50:00Z,Twitter,Perfil A,12195,282,0.0231
2023-04-23T13:25:00Z,Twitter,Perfil A,12547,116,0.0092
2023-09-05T17:10:00Z,Twitter,Perfil B,12548,310,0.024700000000000003
2023-03-13T13:45:00Z,Twitter,Perfil A,12549,156,0.0124
2023-04-04T14:55:00Z,Twitter,Perfil A,12562,336,0.026699999999999998
2023-04-21T12:00:00Z,Twitter,Perfil A,12625,185,0.0147
2023-08-28T14:34:00Z,Instagram,Perfil C,12687,0,0
2023-04-09T11:47:00Z,Twitter,Perfil A,12801,184,0.0144
2023-10-09T16:35:00Z,Instagram,Perfil C,12839,423,0.0329
2023-03-01T14:40:00Z,Twitter,Perfil A,12841,261,0.0203
2023-07-19T11:19:00Z,Instagram,Perfil C,13061,366,0.027999999999999997
2023-09-25T10:33:00Z,Twitter,Perfil B,13160,426,0.032400000000000005
2023-09-12T19:00:00Z,Twitter,Perfil B,13256,291,0.022000000000000002
2023-10-27T11:58:00Z,Twitter,Perfil B,13279,172,0.013000000000000001
2023-06-30T16:24:00Z,Instagram,Perfil C,13284,1,1e-4
2023-07-26T13:28:00Z,Instagram,Perfil C,13286,828,0.0623
2023-09-19T21:05:00Z,Twitter,Perfil B,13342,368,0.0276
2023-08-02T03:00:00Z,Twitter,Perfil A,13587,217,0.016
2023-10-05T19:05:00Z,Twitter,Perfil B,13594,290,0.0213
